observation number,publication number,Title ,Authors,Data_extracted_by,Extraction_date,Continent, Country,year_of_experiment,Site,lat_decimals,long_decimals,eco_type,Annual_precip ,precipitation_levels,Annual_temp,Regional_climate ,climatic_region,SOM,Soil C %,Soil N%,Soil C:N ratio ,Soil pH,litterbags_size_cm2,Fauna_available, Top_mesh_size,Fauna_group,Bottom_mesh_size,Burial_location  ,Time_Days,Duration_period,spc_abbr, Litter_type,Drying_method,Oven_temp_C,Litter_size,sp_div_in_mixture,species_richness,propotions,Mixture_mass_ratio,n_expected,n_observed,Lit_Car,Lit_Nit,Lit_Pho,Lit_Lig,Lit_Car_Nit_ratio,Lit_Lig_Nit_ratio,expected_decay_k,observed_decay_k,initial_weight_g,Final_weight_g,m_expected,sd_expected,m_observed,sd_observed,obs_per_day,exp_per_day,sd_obsv_per_day,sd_exp_per_day
1,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,183,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.4,0.42,8,6.7504,14.275,2.253330868,15.62,1.62,0.085355191,0.078005464,0.008852459,0.012313283
2,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,183,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.7,0.72,8,5.8368,25.91,2.425118554,27.04,0.8,0.147759563,0.141584699,0.004371585,0.013252014
3,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,183,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.57,0.61,8,6.0608,23.04,4.425144065,24.24,2.42,0.132459016,0.125901639,0.013224044,0.024181115
4,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,243,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.4,0.42,8,6.4896,18.39,3.993269337,18.88,2.67,0.077695473,0.075679012,0.010987654,0.016433207
5,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,243,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.7,0.72,8,5.3024,33.11,5.030377719,33.72,4.24,0.138765432,0.136255144,0.01744856,0.020701143
6,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,243,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.57,0.61,8,5.8208,26.98,3.919528033,27.24,2.57,0.112098765,0.111028807,0.010576132,0.016129745
7,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,304,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.4,0.42,8,5.54,29.005,4.335666039,30.75,3.28,0.101151316,0.095411184,0.010789474,0.014262059
8,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,304,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.7,0.72,8,4.1536,45.3,3.90361371,48.08,4.43,0.158157895,0.149013158,0.014572368,0.012840835
9,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,304,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.57,0.61,8,4.704,38.166,4.238513891,41.2,1.49,0.135526316,0.125546053,0.004901316,0.01394248
10,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,365,long,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.4,0.42,8,5.2856,31.56,3.487491935,33.93,5.02,0.092958904,0.086465753,0.013753425,0.009554772
11,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,365,long,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.7,0.72,8,4.036,47.69,3.84990909,49.55,5.14,0.135753425,0.130657534,0.014082192,0.010547696
12,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,absent,0.1,microfauna,0.1,Surface ,365,long,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.57,0.61,8,4.4032,40.27,3.631060451,44.96,6.25,0.123178082,0.110328767,0.017123288,0.009948111
13,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,183,medium,"Be,Ra",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,56.84,1.26,N/A,N/A,45.3,N/A,0.475,0.5,8,7.0168,10.72,1.06164966,12.29,2.42,0.06715847,0.058579235,0.013224044,0.005801364
14,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,183,medium,"Be,Pk",Deciduous,air dried,N/A,Whole leaf,2,two,equal,01:01,6,6,50.81,1.43,N/A,N/A,35.47,N/A,0.76,0.92,8,6.344,15.6,2.615167299,20.7,2.74,0.113114754,0.085245902,0.014972678,0.014290532
15,1,"Interaction between decomposing litter and soil fauna of the Betula ermanii forest floor of the Chanbai Mountains, China ",Li et al 2014,Denis Mburu Njoroge,04/06/2020,Asia,China,2011,Changbai Mountain (1),42.03,128.03,Forest,1000,low,6.1,subalpine climate,Temperate,N/A,12.3,0.57,N/A,4.96,300,present,4,macrofauna,0.1,Surface ,183,medium,"Be,Pk,Ra",Deciduous,air dried,N/A,Whole leaf,3,three,equal,01:01:01,6,6,53.84,1.39,N/A,N/A,38.7,N/A,0.64,0.75,8,6.6832,13.68,2.613331207,16.46,1.27,0.089945355,0.074754098,0.006939891,0.014280498
